date,amount,category,merchant
2019-06-17,60.0,Utilities,Power Company
2019-06-18,15.0,Alcohol & Bars,Brewing Company
2019-06-18,41.83,Gas & Fuel,Shell
2019-06-19,75.0,Auto Insurance,State Farm
2019-06-20,375.26,Credit Card Payment,Credit Card Payment
2019-06-20,9200.0,Home Improvement,Mike's Construction Co.
2019-06-21,100.68,Credit Card Payment,Credit Card Payment
2019-06-24,15.0,Alcohol & Bars,Brewing Company
2019-06-28,30.64,Gas & Fuel,BP
2019-06-30,75.0,Internet,Internet Service Provider
2019-07-01,7.0,Coffee Shops,Starbucks
2019-07-01,99.47,Groceries,Grocery Store
2019-07-01,24.97,Restaurants,Hawaiian Grill
2019-07-01,24.0,Restaurants,Thai Restaurant
2019-07-01,13.09,Shopping,Amazon
2019-07-02,229.9,Home Improvement,Hardware Store
2019-07-02,1100.0,Mortgage & Rent,Mortgage Payment
2019-07-04,13.9,Television,Netflix
2019-07-05,19.0,Alcohol & Bars,Brewing Company
2019-07-06,92.98,Groceries,Grocery Store
2019-07-06,23.26,Restaurants,Greek Restaurant
2019-07-07,103.14,Home Improvement,Hardware Store
2019-07-08,305.28,Credit Card Payment,Credit Card Payment
2019-07-08,220.08,Credit Card Payment,Credit Card Payment
2019-07-09,10.69,Music,Spotify
2019-07-10,65.0,Mobile Phone,Phone Company
2019-07-10,30.0,Utilities,Gas Company
2019-07-15,87.14,Groceries,Grocery Store
2019-07-16,89.99,Shopping,Amazon
2019-07-16,60.0,Utilities,Power Company
2019-07-17,35.0,Utilities,City Water Charges
2019-07-18,75.0,Auto Insurance,State Farm
2019-07-18,814.5,Credit Card Payment,Credit Card Payment
2019-07-18,36.42,Gas & Fuel,BP
2019-07-18,29.83,Groceries,Grocery Store
2019-07-18,8.82,Restaurants,Brunch Restaurant
2019-07-19,28.0,Restaurants,Mexican Restaurant
2019-07-22,26.67,Restaurants,Thai Restaurant
2019-07-23,257.08,Credit Card Payment,Credit Card Payment
2019-07-24,2.5,Coffee Shops,Starbucks
2019-07-27,30.0,Haircut,Barbershop
2019-07-28,44.31,Home Improvement,Hardware Store
2019-07-29,5.35,Groceries,Grocery Store
2019-07-29,44.92,Restaurants,Fancy Restaurant
2019-07-30,15.77,Groceries,Grocery Store
2019-07-30,75.0,Internet,Internet Service Provider
2019-08-01,13.09,Shopping,Amazon
2019-08-02,1100.0,Mortgage & Rent,Mortgage Payment
2019-08-03,36.36,Gas & Fuel,BP
2019-08-03,3.96,Groceries,Grocery Store
2019-08-03,23.47,Restaurants,American Tavern
2019-08-04,13.9,Television,Netflix
2019-08-05,18.0,Alcohol & Bars,Brewing Company
2019-08-06,521.17,Credit Card Payment,Credit Card Payment
2019-08-06,117.65,Credit Card Payment,Credit Card Payment
2019-08-06,125.0,Home Improvement,Hardware Store
2019-08-08,11.72,Groceries,Grocery Store
2019-08-09,10.69,Music,Spotify
2019-08-09,30.0,Utilities,Gas Company
2019-08-12,65.0,Mobile Phone,Phone Company
2019-08-12,26.67,Restaurants,Thai Restaurant
2019-08-14,2.75,Coffee Shops,Starbucks
2019-08-15,335.2,Credit Card Payment,Credit Card Payment
2019-08-15,60.0,Utilities,Power Company
2019-08-16,35.0,Utilities,City Water Charges
2019-08-17,33.15,Groceries,Grocery Store
2019-08-17,19.0,Haircut,Barbershop
2019-08-17,3.5,Restaurants,American Tavern
2019-08-19,1248.95,Credit Card Payment,Credit Card Payment
2019-08-20,75.0,Auto Insurance,State Farm
2019-08-20,2.75,Coffee Shops,Starbucks
2019-08-21,34.69,Gas & Fuel,Shell
2019-08-23,2.75,Coffee Shops,Starbucks
2019-08-25,39.43,Restaurants,Brunch Restaurant
2019-08-26,66.75,Home Improvement,Hardware Store
2019-08-29,3.0,Coffee Shops,Starbucks
2019-08-30,2.75,Coffee Shops,Starbucks
2019-08-30,75.0,Internet,Internet Service Provider
2019-08-31,68.04,Home Improvement,Hardware Store
2019-08-31,41.78,Restaurants,BBQ Restaurant
2019-09-01,13.09,Shopping,Amazon
2019-09-03,1100.0,Mortgage & Rent,Mortgage Payment
2019-09-03,41.24,Restaurants,Fancy Restaurant
2019-09-04,13.9,Television,Netflix
2019-09-05,3.75,Coffee Shops,Starbucks
2019-09-06,1390.37,Credit Card Payment,Credit Card Payment
2019-09-06,502.75,Credit Card Payment,Credit Card Payment
2019-09-07,12.87,Alcohol & Bars,Brewing Company
2019-09-08,19.3,Alcohol & Bars,Brewing Company
2019-09-09,28.77,Gas & Fuel,Shell
2019-09-09,65.09,Groceries,Grocery Store
2019-09-09,26.25,Home Improvement,Hardware Store
2019-09-09,10.69,Music,Spotify
2019-09-09,30.0,Utilities,Gas Company
2019-09-11,65.0,Mobile Phone,Phone Company
2019-09-12,360.56,Credit Card Payment,Credit Card Payment
2019-09-13,2.75,Coffee Shops,Starbucks
2019-09-14,46.44,Groceries,Grocery Store
2019-09-15,47.66,Shopping,Amazon
2019-09-16,90.57,Credit Card Payment,Credit Card Payment
2019-09-16,35.0,Utilities,City Water Charges
2019-09-17,60.0,Utilities,Power Company
2019-09-18,75.0,Auto Insurance,State Farm
2019-09-18,1606.46,Credit Card Payment,Credit Card Payment
2019-09-19,40.81,Alcohol & Bars,Brewing Company
2019-09-19,2.75,Coffee Shops,Starbucks
2019-09-22,131.1,Restaurants,Seafood Restaurant
2019-09-23,9.43,Credit Card Payment,Credit Card Payment
2019-09-23,27.71,Groceries,Grocery Store
2019-09-23,24.63,Shopping,Amazon
2019-09-28,33.46,Gas & Fuel,BP
2019-09-28,4.27,Gas & Fuel,Sheetz
2019-09-30,1.75,Coffee Shops,Starbucks
2019-09-30,75.0,Internet,Internet Service Provider
